2021-07-27 22:43:09 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 6.2.0.Final
2021-07-27 22:43:10 [background-preinit] WARN  o.s.h.c.j.Jackson2ObjectMapperBuilder - For Jackson Kotlin classes support please add "com.fasterxml.jackson.module:jackson-module-kotlin" to the classpath
2021-07-27 22:43:10 [main] INFO  c.m.demo.config.server.ConfigServer - No active profile set, falling back to default profiles: default
2021-07-27 22:43:10 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=64ad351d-d90b-347b-9d37-35fccc79a4a3
2021-07-27 22:43:11 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8888 (http)
2021-07-27 22:43:11 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8888"]
2021-07-27 22:43:11 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2021-07-27 22:43:11 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.46]
2021-07-27 22:43:11 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2021-07-27 22:43:11 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1184 ms
2021-07-27 22:43:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/actuator/**'] with []
2021-07-27 22:43:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/encrypt/**'] with []
2021-07-27 22:43:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure Ant [pattern='/decrypt/**'] with []
2021-07-27 22:43:14 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4a2d66e, org.springframework.security.web.context.SecurityContextPersistenceFilter@b144175, org.springframework.security.web.header.HeaderWriterFilter@299786b1, org.springframework.security.web.csrf.CsrfFilter@7981963f, org.springframework.security.web.authentication.logout.LogoutFilter@2bc2e022, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@6297cb4b, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@17ec5e2a, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@4dffff9, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@1dc9f5ad, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1ac3a6f, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@67784537, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2904bc56, org.springframework.security.web.session.SessionManagementFilter@4f7ae05, org.springframework.security.web.access.ExceptionTranslationFilter@42066f0d, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@517bdce0]
2021-07-27 22:43:14 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint(s) beneath base path '/actuator'
2021-07-27 22:43:14 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8888"]
2021-07-27 22:43:14 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port(s): 8888 (http) with context path ''
2021-07-27 22:43:14 [main] INFO  c.m.demo.config.server.ConfigServer - Started ConfigServer in 5.291 seconds (JVM running for 5.871)
2021-07-27 22:43:14 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state LivenessState changed to CORRECT
2021-07-27 22:43:14 [main] INFO  o.s.b.a.ApplicationAvailabilityBean - Application availability state ReadinessState changed to ACCEPTING_TRAFFIC
